Value	BitNum	Word	WordVal	WordHex
0	6	18	0	
0	7	18	0	
1	8	18	1	
1	9	18	3	
1	10	18	7	
1	11	18	15	
1	12	18	31	
0	13	18	62	
0	14	18	124	
0	15	18	248	0xF8
0	0	19	0	
0	1	19	0	
0	2	19	0	
0	3	19	0	
1	4	19	1	
0	5	19	2	
0	6	19	4	
0	7	19	8	
0	8	19	16	
0	9	19	32	
0	10	19	64	
0	11	19	128	
1	12	19	257	
0	13	19	514	
0	14	19	1028	
0	15	19	2056	0x808
0	0	20	0	
0	1	20	0	
0	2	20	0	
0	3	20	0	
1	4	20	1	
0	5	20	2	
0	6	20	4	
0	7	20	8	
1	8	20	17	
1	9	20	35	
1	10	20	71	
1	11	20	143	
1	12	20	287	
0	13	20	574	
0	14	20	1148	
0	15	20	2296	0x8F8
0	0	21	0	
0	1	21	0	
0	2	21	0	
0	3	21	0	
0	4	21	0	
0	5	21	0	
0	6	21	0	
0	7	21	0	
0	8	21	0	
0	9	21	0	
0	10	21	0	
0	11	21	0	
0	12	21	0	
0	13	21	0	
0	14	21	0	
0	15	21	0	0x0
0	0	22	0	
0	1	22	0	
0	2	22	0	
0	3	22	0	
1	4	22	1	
0	5	22	2	
0	6	22	4	
0	7	22	8	
0	8	22	16	
0	9	22	32	
0	10	22	64	
0	11	22	128	
1	12	22	257	
1	13	22	515	
1	14	22	1031	
1	15	22	2063	0x80F
0	0	23	0	
0	1	23	0	
0	2	23	0	
0	3	23	0	
0	4	23	0	
0	5	23	0	
0	6	23	0	
0	7	23	0	
0	8	23	0	
0	9	23	0	
0	10	23	0	
0	11	23	0	
0	12	23	0	
0	13	23	0	
0	14	23	0	
0	15	23	0	0x0
0	0	24	0	
0	1	24	0	
0	2	24	0	
0	3	24	0	
0	4	24	0	
0	5	24	0	
0	6	24	0	
0	7	24	0	
0	8	24	0	
0	9	24	0	
0	10	24	0	
0	11	24	0	
1	12	24	1	
1	13	24	3	
1	14	24	7	
1	15	24	15	0xF
0	0	25	0	
0	1	25	0	
0	2	25	0	
0	3	25	0	
1	4	25	1	
0	5	25	2	
0	6	25	4	
0	7	25	8	
0	8	25	16	
0	9	25	32	
0	10	25	64	
0	11	25	128	
1	12	25	257	
0	13	25	514	
0	14	25	1028	
0	15	25	2056	0x808
0	0	26	0	
0	1	26	0	
0	2	26	0	
0	3	26	0	
0	4	26	0	
0	5	26	0	
0	6	26	0	
0	7	26	0	
1	8	26	1	
1	9	26	3	
1	10	26	7	
1	11	26	15	
1	12	26	31	
1	13	26	63	
1	14	26	127	
1	15	26	255	0xFF
0	0	27	0	
0	1	27	0	
0	2	27	0	
